Growth Duration,Fertilizer
98,True
108,False
129,False
116,False
111,False
131,False
110,False
118,False
112,False
110,False
107,True
105,True
117,True
112,True
103,True
112,False
82,True
119,False
136,False
143,True
115,False
103,True
138,False
122,False
122,False
154,False
117,False
117,False
114,True
132,False
137,False
127,False
123,True
109,True
119,False
62,False
124,False
110,True
93,True
108,True
126,True
119,True
118,True
123,True
109,True
104,True
110,False
120,False
122,False
121,False
139,False
127,False
115,True
139,False
148,False
117,True
129,False
120,False
99,True
118,False
80,True
98,True
115,False
138,False
101,False
133,False
63,False
123,True
129,False
127,True
121,False
99,False
115,True
128,False
103,False
134,False
100,True
131,False
110,False
115,True
124,True
150,False
135,True
100,True
138,True
137,False
98,False
120,False
112,False
133,False
102,False
136,False
127,True
143,False
123,True
113,False
132,True
136,True
120,False
136,False
126,True
110,True
105,True
108,True
72,False
113,False
114,True
121,False
122,True
119,True
110,True
98,False
101,True
138,False
147,False
85,False
125,False
128,False
96,True
102,True
119,False
150,False
82,True
128,True
124,False
106,False
124,False
114,False
117,True
115,False
85,False
124,False
120,False
132,True
117,True
144,True
121,False
146,False
99,True
127,False
130,False
137,True
128,False
100,False
115,True
109,False
126,False
131,True
123,True
104,False
113,False
105,False
119,False
129,False
107,False
100,False
117,True
94,True
111,True
134,False
127,True
127,False
124,False
137,False
124,False
106,True
112,False
124,True
100,False
90,True
128,False
114,True
128,False
133,False
121,False
121,True
128,False
146,True
101,True
150,True
111,False
100,False
108,True
71,True
144,True
113,False
125,False
138,False
102,False
119,False
129,True
138,False
155,False
118,False
120,True
88,True
106,False
99,True
101,True
86,True
138,False
154,False
133,False
87,True
140,False
86,True
132,False
92,True
91,True
120,True
115,False
83,True
92,True
110,False
91,True
104,True
115,False
97,True
78,False
123,True
144,True
136,False
78,False
114,True
104,False
101,False
98,True
117,False
136,True
107,True
122,False
133,False
118,False
135,False
140,False
75,True
101,True
106,True
122,False
133,False
97,True
107,False
144,False
119,False
117,False
138,True
137,False
90,False
102,False
149,False
120,True
112,True
87,False
112,True
120,False
118,False
97,False
114,False
142,True
128,False
138,False
149,False
124,False
109,True
144,True
84,True
132,False
137,True
97,True
123,False
133,False
130,True
71,False
94,True
120,True
147,False
105,False
111,False
128,True
121,False
139,False
123,False
123,False
123,True
96,True
116,False
79,False
135,True
126,True
81,True
131,False
114,False
106,False
105,False
112,False
124,False
98,True
115,True
105,False
127,False
103,True
120,False
130,True
132,False
105,True
132,False
93,True
129,False
98,False
121,False
123,False
141,False
160,False
152,False
109,False
116,False
110,False
120,True
94,True
132,True
116,True
125,False
147,False
55,False
124,False
119,True
105,False
126,False
93,False
132,False
99,True
105,False
152,False
160,True
134,True
126,False
110,True
127,True
137,False
157,False
103,False
127,False
122,True
112,True
143,False
170,False
145,False
150,False
124,False
160,False
136,False
91,True
123,False
99,True
125,True
114,False
116,False
144,False
134,True
80,False
117,False
136,False
109,True
102,True
115,False
144,False
134,False
99,True
87,True
119,True
127,True
133,True
130,False
133,True
123,True
143,False
128,False
117,True
130,True
99,True
118,True
125,False
130,False
147,False
119,True
114,False
122,True
93,False
114,True
125,True
123,True
117,True
123,False
125,False
113,True
100,True
109,True
127,False
119,False
96,True
122,True
135,False
129,True
105,False
131,True
69,True
110,False
128,True
115,True
117,True
101,False
107,True
121,False
117,False
122,True
123,False
88,True
138,False
153,False
111,False
114,False
150,False
152,False
139,False
145,True
114,False
105,False
103,False
162,False
131,True
93,True
129,True
129,True
131,False
115,False
105,False
104,True
139,False
142,False
113,True
125,False
118,True
130,False
112,False
99,False
140,False
109,False
147,False
100,True
108,False
127,True
124,False
132,False
125,False
143,False
116,False
142,False
174,False
104,True
103,True
132,False
137,False
100,False
129,False
100,True
89,False
120,True
120,False
114,False
121,True
126,False
167,False
127,False
118,False
121,True
112,False
109,False
108,True
115,True
126,False
110,False
143,False
134,False
132,True
136,False
122,False
138,False
126,True
123,True
84,False
103,False
137,False
120,False
138,False
140,True
133,False
132,False
103,True
116,True
147,False
84,False
102,False
110,False
135,False
117,True
121,False
143,True
121,False
114,True
174,False
130,True
124,False
120,True
110,False
116,True
113,False
143,True
113,True
96,True
75,True
110,True
156,False
87,True
102,False
121,False
129,True
109,True
131,True
116,False
103,True
117,False
143,True
115,False
150,False
130,False
114,False
81,False
124,False
108,False
133,False
91,True
130,False
126,False
116,False
112,False
117,True
99,True
108,True
105,True
129,False
136,False
113,False
129,False
102,True
124,True
133,True
121,True
122,False
129,False
145,True
134,False
101,False
101,True
75,True
77,True
127,False
104,False
110,False
126,True
144,False
110,True
135,False
97,True
123,False
115,True
104,True
124,False
133,False
113,False
125,False
144,False
78,True
129,False
145,True
123,False
130,True
139,False
132,False
108,False
141,True
142,False
114,False
137,False
114,True
92,True
127,False
125,True
123,False
107,False
127,True
115,False
97,True
119,True
100,True
118,False
123,True
124,False
137,False
116,False
120,False
116,True
138,False
93,False
116,False
131,True
102,False
117,False
125,True
142,False
119,False
145,False
122,False
104,True
119,True
129,True
129,False
112,False
164,False
127,True
145,True
173,False
115,False
130,False
103,True
114,False
117,False
108,False
109,False
142,False
129,False
116,True
115,False
103,False
112,False
95,True
141,False
116,False
146,False
136,True
104,True
114,False
122,False
118,False
116,True
126,False
109,False
138,False
97,True
112,False
117,True
112,True
134,False
107,True
127,False
142,False
146,True
126,False
146,False
98,True
128,False
109,True
120,False
107,False
123,False
131,False
97,False
73,False
121,True
119,True
123,False
84,False
123,False
121,False
135,False
111,True
110,False
120,False
104,False
133,False
116,True
131,True
123,False
174,False
131,False
104,True
122,True
120,False
154,True
151,False
120,False
125,False
103,True
114,True
127,False
154,True
136,False
115,True
81,True
126,False
125,False
131,False
105,False
144,False
75,True
132,False
140,False
114,True
129,False
132,False
127,False
86,True
148,False
108,True
105,True
100,False
104,True
125,False
122,False
119,True
122,True
141,False
117,False
111,False
126,False
145,False
122,False
135,False
114,False
130,False
124,False
121,False
148,False
118,False
97,False
155,True
127,True
130,True
128,True
152,False
127,False
128,True
117,False
134,False
113,False
